epoch,loss,f1,auroc,hamming
1,0.5068575657076306,0.0,0.5,0.04278169014084507
2,0.16824476793408394,0.0,0.5,0.04278169014084507
3,0.15931570736898315,0.0,0.5,0.04278169014084507
4,0.1588582599328624,0.0,0.5,0.04278169014084507
5,0.15989564773109224,0.0,0.5,0.04278169014084507
6,0.15955726760956976,0.0,0.5,0.04278169014084507
7,0.15953384960691133,0.0,0.5,0.04278169014084507
8,0.15964518466757405,0.0,0.5,0.04278169014084507
9,0.158985725707478,0.0,0.5,0.04278169014084507
10,0.15927644984589684,0.0,0.5,0.04278169014084507
11,0.15966052437822023,0.0,0.5,0.04278169014084507
12,0.15942590249081454,0.0,0.5,0.04278169014084507
13,0.15905214308036697,0.0,0.5,0.04278169014084507
14,0.15900322629345787,0.0,0.5,0.04278169014084507
15,0.15989755528668562,0.0,0.5,0.04278169014084507
16,0.1589638977828953,0.0,0.5,0.04278169014084507
17,0.1593020318282975,0.0,0.5,0.04278169014084507
18,0.16008523437711927,0.0,0.5,0.04278169014084507
19,0.1593970376998186,0.0,0.5,0.04278169014084507
20,0.15956072260936102,0.0,0.5,0.04278169014084507
21,0.15901021162668863,0.0,0.5,0.04278169014084507
22,0.15988320277796852,0.0,0.5,0.04278169014084507
23,0.1589589427328772,0.0,0.5,0.04278169014084507
24,0.15916334009832805,0.0,0.5,0.04278169014084507
25,0.1593045356372992,0.0,0.5,0.04278169014084507
26,0.15939688372115293,0.0,0.5,0.04278169014084507
27,0.15958871816595396,0.0,0.5,0.04278169014084507
28,0.16001250387893784,0.0,0.5,0.04278169014084507
29,0.15906517124838299,0.0,0.5,0.04278169014084507
30,0.16024529644184643,0.0,0.5,0.04278169014084507
31,0.15949094688726795,0.0,0.5,0.04278169014084507
32,0.15942356280154651,0.0,0.5,0.04278169014084507
33,0.1595097796784507,0.0,0.5,0.04278169014084507
34,0.15936506994896465,0.0,0.5,0.04278169014084507
35,0.16027542245056894,0.0,0.5,0.04278169014084507
36,0.16028912199868095,0.0,0.5,0.04278169014084507
37,0.15859302567938963,0.0,0.5,0.04278169014084507
38,0.15916167572140694,0.0,0.5,0.04278169014084507
39,0.1602341632048289,0.0,0.5,0.04278169014084507
40,0.1596287244723903,0.0,0.5,0.04278169014084507
41,0.15966112704740631,0.0,0.5,0.04278169014084507
42,0.15936027032633623,0.0,0.5,0.04278169014084507
43,0.1602790786160363,0.0,0.5,0.04278169014084507
44,0.1593813213209311,0.0,0.5,0.04278169014084507
45,0.1592524993336863,0.0,0.5,0.04278169014084507
46,0.1603036435941855,0.0,0.5,0.04278169014084507
47,0.15960513282981184,0.0,0.5,0.04278169014084507
48,0.16001885301536983,0.0,0.5,0.04278169014084507
49,0.15933899974657428,0.0,0.5,0.04278169014084507
50,0.15932955096165338,0.0,0.5,0.04278169014084507
