epoch,loss,f1,auroc,hamming
1,0.23625671904948023,0.0,0.5,0.04278169014084507
2,0.16824412263102,0.0,0.5,0.04278169014084507
3,0.16565683608253798,0.0,0.5,0.04278169014084507
4,0.16497333265013164,0.0,0.5,0.04278169014084507
5,0.1653310354385111,0.0,0.5,0.04278169014084507
6,0.16226705412069956,0.0,0.5,0.04278169014084507
7,0.16186868978871238,0.0,0.5,0.04278169014084507
8,0.16192616894841194,0.0,0.5,0.04278169014084507
9,0.1614768331249555,0.0,0.5,0.04278169014084507
10,0.15988070683346856,0.003286770747740345,0.5001724137931035,0.042711267605633804
11,0.15572703298595217,0.02711323763955343,0.500617382211553,0.04295774647887324
12,0.15097560837037033,0.011363636363636364,0.5001946411186657,0.04288732394366197
13,0.144691848092609,0.035686578743211794,0.500523838860898,0.04376760563380282
14,0.13417296587593025,0.07945205479452055,0.5008963040898206,0.04732394366197183
15,0.1253406438562605,0.07730147575544624,0.5051822988137251,0.04623239436619718
16,0.11627822493513425,0.09034907597535935,0.5090692973022699,0.046795774647887325
17,0.1055180233799749,0.11335504885993486,0.5098832317711961,0.0479225352112676
18,0.09616777280138598,0.11350293542074363,0.5088865620332311,0.04785211267605634
19,0.08717669205119212,0.11154345006485085,0.5078178786663662,0.04823943661971831
20,0.07800918496731254,0.11536050156739812,0.5109649455713484,0.0496830985915493
21,0.07294849161472586,0.12658227848101267,0.5079802841542097,0.05102112676056338
22,0.06673790100548002,0.12825166364186327,0.5104813636864302,0.05073943661971831
23,0.060440935815374054,0.12226066897347174,0.5091458528914233,0.05359154929577465
24,0.055984517455928855,0.1255868544600939,0.5075608526017368,0.052464788732394366
25,0.050921978946361274,0.13553329404832057,0.5100429848774284,0.051654929577464787
26,0.04750597859836287,0.14437604924454392,0.5093100489070943,0.053838028169014084
27,0.044909398899310164,0.1187648456057007,0.507044987141036,0.052253521126760565
28,0.04116324537123243,0.14351851851851852,0.5089485483038828,0.05211267605633803
29,0.040560533861733146,0.14355628058727568,0.5097287705957697,0.05545774647887324
30,0.03698440237591664,0.13964223889209462,0.5106380640121033,0.0525
31,0.03446366244720088,0.15134529147982062,0.5087348348332116,0.05330985915492958
32,0.03147414761284987,0.1446999439147504,0.507720801374071,0.05369718309859155
33,0.02904646848845813,0.15300546448087432,0.5102114386127579,0.05457746478873239
34,0.029330182044456404,0.15453029460811563,0.5105233171584795,0.05355633802816901
35,0.026918481724957626,0.14937286202964653,0.5124188796745303,0.05253521126760563
36,0.02576904298944606,0.1512893982808023,0.5114228791628883,0.05214788732394366
37,0.02415688894689083,0.1414027149321267,0.5096968493920425,0.053450704225352114
38,0.024158691418253712,0.14197875908328675,0.5105604439811374,0.054049295774647885
39,0.023228742699656222,0.14499424626006904,0.5112866580922693,0.05232394366197183
40,0.019688826338905428,0.155858310626703,0.5128606682000373,0.05454225352112676
41,0.021748699377187423,0.14484679665738162,0.5115583282081961,0.054049295774647885
42,0.02005263790488243,0.13997760358342665,0.5096218499226981,0.054084507042253524
43,0.019387441247494683,0.17115177610333693,0.5127294708299138,0.054225352112676053
44,0.01721371873281896,0.149438202247191,0.5120378997756552,0.05330985915492958
45,0.017272518624344632,0.1436848203939745,0.5085716289803156,0.05204225352112676
46,0.01628528399548183,0.1589189189189189,0.5104509166780409,0.0547887323943662
47,0.014949454072241982,0.15417558886509636,0.5118104079884351,0.05563380281690141
48,0.015752456836505897,0.15531914893617021,0.5107722625248194,0.05591549295774648
49,0.01564048495816274,0.13860252004581902,0.5088817798663021,0.05295774647887324
50,0.01543441920592967,0.1515650741350906,0.5117615733032632,0.05440140845070422
