epoch,loss,f1,auroc,hamming
1,0.20399982316626442,0.0,0.5,0.04278169014084507
2,0.163671703181333,0.0,0.5,0.04278169014084507
3,0.16239786768953005,0.0,0.5,0.04278169014084507
4,0.16163362976577547,0.0,0.5,0.04278169014084507
5,0.16150636308723026,0.011391375101708706,0.5003845464268735,0.04278169014084507
6,0.15711306283871332,0.030087094220110848,0.5007431814441765,0.043133802816901406
7,0.14898255467414856,0.06734992679355783,0.5019191832837159,0.04485915492957746
8,0.13755784390701187,0.10904425914047466,0.5108820332119697,0.04890845070422535
9,0.12655591488712364,0.10437051532941943,0.506419847703965,0.04834507042253521
10,0.11396105070081022,0.11207970112079702,0.5083104344625586,0.050211267605633804
11,0.10358261586063439,0.11641443538998836,0.508434281419216,0.053450704225352114
12,0.09494807716045114,0.11494252873563218,0.5077744452074489,0.048802816901408454
13,0.08844820679061943,0.1148036253776435,0.5091142095713657,0.05158450704225352
14,0.07950753108080891,0.11336515513126491,0.5090080614449477,0.05232394366197183
15,0.07243646670960718,0.12952799121844127,0.5078677058863376,0.05584507042253521
16,0.06799385417252779,0.10318471337579618,0.5049813001997682,0.049577464788732394
17,0.0632740691718128,0.1307609860664523,0.5094304846196649,0.057112676056338026
18,0.05750921223726538,0.13550420168067226,0.5110211134607526,0.05795774647887324
19,0.05238277682413658,0.14025695931477516,0.5102622105486,0.05654929577464789
20,0.05038469662475917,0.14316239316239315,0.508998195192985,0.05647887323943662
21,0.052145012033482395,0.12127659574468085,0.5104683148276059,0.058169014084507045
22,0.050058424886729985,0.14472361809045226,0.5130645532702447,0.05992957746478873
23,0.04387466314559182,0.14551248008497078,0.5102194936640031,0.05665492957746479
24,0.038651142528073654,0.1369334619093539,0.5131071720637878,0.0630281690140845
25,0.034366521880858474,0.1342281879194631,0.516420104636624,0.06359154929577465
26,0.03047408965519733,0.14299900695134063,0.5114365394586643,0.060774647887323945
27,0.025745782897704177,0.1276595744680851,0.5092621383871923,0.06063380281690141
28,0.024545154275579587,0.12688507540301613,0.5097841815147197,0.059119718309859154
29,0.02504689963017073,0.13958227203260315,0.5140343855339595,0.05947183098591549
30,0.024584270496335294,0.11538461538461539,0.5111092705957284,0.05992957746478873
31,0.023380937132363517,0.12346993081426291,0.5075139892438824,0.057992957746478876
32,0.021015175721711583,0.1287633163501621,0.50833096597489,0.06623239436619718
33,0.018577748560346663,0.13275613275613277,0.5093182263916911,0.06348591549295775
34,0.017733726676346526,0.12306201550387597,0.5104458820904336,0.06373239436619718
35,0.017356140888296068,0.12833168805528133,0.5077209190015441,0.062183098591549295
36,0.015149018552619964,0.12630579297245964,0.5090975731823663,0.0647887323943662
37,0.01432389535734223,0.1325178389398573,0.5105212577116073,0.05992957746478873
38,0.013431693569550084,0.13803230543318648,0.5115176214640517,0.062007042253521126
39,0.013335657086119883,0.1313035204567079,0.5081994242192887,0.06429577464788733
40,0.015132253071189754,0.13004926108374384,0.5098473530505105,0.062183098591549295
41,0.015292091618498994,0.1450980392156863,0.5107324365697571,0.061408450704225355
42,0.012892540835309774,0.1355275895450145,0.5100579890285347,0.06288732394366198
43,0.011514256734194027,0.1491358024691358,0.5104754453418617,0.06066901408450704
44,0.012652710118951896,0.13228809407153355,0.5096925091236002,0.062359154929577464
45,0.00933204080340349,0.1447178002894356,0.5100752382827074,0.062429577464788735
46,0.00835730627618937,0.134470647265429,0.5096739093353237,0.06073943661971831
47,0.007784725677791155,0.1393998063891578,0.5092602497134401,0.0626056338028169
48,0.00682948829813136,0.1379647749510763,0.5102811231059264,0.06204225352112676
49,0.006424087746482756,0.13704276146316333,0.5106014102418278,0.05897887323943662
50,0.005569226596789021,0.13866396761133604,0.5107995792414257,0.05992957746478873
